test,dataset,delta_id,cluster_timestamp,iteration,scheduling_latency,algorithm_time,flowsolver_time,total_time
full,small_trace,73,3410843686,0,0.007517,0.00634,0.05401,0.0872448
full,small_trace,74,3410850026,0,0.012846,0.006543,0.0532569,0.0833144
full,small_trace,75,3525978000,0,0.004864,0.004864,0.0512906,0.123776
full,small_trace,76,3525982864,0,0.009807,0.005022,0.0506505,0.0906096
full,small_trace,77,3549872977,0,0.00592,0.00592,0.0536699,0.0994612
full,small_trace,78,3549878897,0,0.012705,0.006938,0.0556127,0.0943837
full,small_trace,79,3851600274,0,0.005577,0.005577,0.0512304,0.138206
full,small_trace,80,3851605851,0,0.011172,0.005616,0.0538696,0.094554
full,small_trace,81,3938008735,0,0.004945,0.004945,0.0520558,0.10707
full,small_trace,82,3938013680,0,0.013012,0.008186,0.0536059,0.0934135
full,small_trace,83,3986760257,0,0.004757,0.004757,0.051156,0.0990431
full,small_trace,84,4051795348,0,0.005624,0.005624,0.0537787,0.117835
full,small_trace,85,4051800972,0,0.012433,0.007031,0.0550166,0.0790173
full,small_trace,86,4186659991,0,0.002087,0.002087,0.0538063,0.112538
full,small_trace,87,4186662078,0,0.008962,0.006948,0.0544796,0.0949959
full,small_trace,88,4205531591,0,0.005279,0.005279,0.0521376,0.0990413
full,small_trace,89,4205536870,0,0.009475,0.004396,0.0537525,0.0841645
full,small_trace,90,4223090119,0,0.005348,0.005348,0.0539842,0.097104
full,small_trace,91,4223095467,0,0.010326,0.005482,0.0570025,0.0947256
full,small_trace,92,4277981577,0,0.006071,0.006071,0.0496761,0.103153
full,small_trace,93,4314340664,0,0.006766,0.006766,0.0559952,0.0864289
full,small_trace,94,4314347430,0,0.013782,0.007098,0.0563788,0.0822931
full,small_trace,95,4365068132,0,0.001261,0.001261,0.0536965,0.112669
full,small_trace,96,4365069393,0,0.006983,0.005811,0.0532299,0.0874951
full,small_trace,97,4607608453,0,0.005734,0.005734,0.0530705,0.156028
full,small_trace,98,4839387809,0,0.006828,0.006828,0.0562087,0.125934
full,small_trace,99,4839394637,0,0.013171,0.00637,0.054782,0.0966936
incremental,small_trace,0,0,0,0.119023,0.119023,0.157713,18.6874
incremental,small_trace,1,119023,0,0,0.011418,0.0267582,0.0367924
incremental,small_trace,2,757955277,0,0.003027,0.003027,0.0185259,0.0613599
incremental,small_trace,3,757958304,0,0.003836,0.001017,0.0158512,0.0407286
incremental,small_trace,4,760949245,0,0.000566,0.000566,0.0152796,0.0263856
incremental,small_trace,5,760949811,0,0.001572,0.001053,0.0165944,0.0378804
incremental,small_trace,6,760950864,0,0.001556,0.000711,0.015201,0.0293976
incremental,small_trace,7,772013814,0,0.000548,0.000548,0.0154102,0.0645529
incremental,small_trace,8,772014362,0,0.0011,0.000572,0.0155759,0.0273554
incremental,small_trace,9,870116781,0,0.000584,0.000584,0.0154047,0.0440147
incremental,small_trace,10,870117365,0,0.000951,0.000521,0.0156623,0.0300039
incremental,small_trace,11,870117886,0,0.001008,0.000761,0.0155827,0.0295439
incremental,small_trace,12,870118647,0,0.001084,0.00068,0.0157717,0.0280553
incremental,small_trace,13,870119327,0,0.001182,0.000526,0.0157192,0.0261643
incremental,small_trace,14,993518588,0,0.000549,0.000549,0.015313,0.088131
incremental,small_trace,15,1107986333,0,0.000545,0.000545,0.0152908,0.0489338
incremental,small_trace,16,1107986878,0,0.001163,0.000708,0.0158269,0.0284614
incremental,small_trace,17,1107987586,0,0.001276,0.000577,0.0158229,0.0275421
incremental,small_trace,18,1119442249,0,0.000433,0.000433,0.0156298,0.0356957
incremental,small_trace,19,1119442682,0,0.000974,0.000559,0.0150625,0.0241167
incremental,small_trace,20,1135414792,0,0.000442,0.000442,0.0152796,0.0274769
incremental,small_trace,21,1135415234,0,0.000882,0.000548,0.0155178,0.0249266
incremental,small_trace,22,1345888435,0,0.000503,0.000503,0.0155234,0.0724824
incremental,small_trace,23,1372983484,0,0.000551,0.000551,0.015423,0.0340937
incremental,small_trace,24,1372984035,0,0.001187,0.000743,0.0155997,0.0342823
incremental,small_trace,25,1372984778,0,0.001282,0.000645,0.0159804,0.031756
incremental,small_trace,26,1398938349,0,0.000441,0.000441,0.0157478,0.0504483
incremental,small_trace,27,1398938790,0,0.00102,0.000696,0.0159245,0.0322472
incremental,small_trace,28,1398939486,0,0.001497,0.0009,0.016102,0.034438
incremental,small_trace,29,1423337461,0,0.000566,0.000566,0.0157078,0.045669
incremental,small_trace,30,1423338027,0,0.001269,0.000718,0.0159613,0.037232
incremental,small_trace,31,1423338745,0,0.001233,0.000676,0.0160319,0.0350315
incremental,small_trace,32,1423339421,0,0.001685,0.001047,0.0171855,0.0397316
incremental,small_trace,33,1423340468,0,0.001457,0.000539,0.0160869,0.0256359
incremental,small_trace,34,1437048669,0,0.000601,0.000601,0.0160766,0.0682532
incremental,small_trace,35,1437049270,0,0.001218,0.000819,0.0160934,0.0326877
incremental,small_trace,36,1437050089,0,0.001523,0.000725,0.0164131,0.0430259
incremental,small_trace,37,1437050814,0,0.001531,0.001026,0.0174353,0.0350072
incremental,small_trace,38,1437051840,0,0.002263,0.001246,0.0171478,0.0439257
incremental,small_trace,39,1573781565,0,0.000434,0.000434,0.0162985,0.103491
incremental,small_trace,40,1573781999,0,0.00079,0.000549,0.0161737,0.0291794
incremental,small_trace,41,1585628702,0,0.000579,0.000579,0.0162195,0.0353558
incremental,small_trace,42,1599232156,0,0.000577,0.000577,0.0165262,0.0310583
incremental,small_trace,43,1599232733,0,0.001121,0.000654,0.016626,0.0370779
incremental,small_trace,44,1599233387,0,0.001046,0.00059,0.0165866,0.0340229
incremental,small_trace,45,1599233977,0,0.00099,0.000442,0.0163011,0.0327
incremental,small_trace,46,1701549695,0,0.000463,0.000463,0.0161774,0.069468
incremental,small_trace,47,1701550158,0,0.000862,0.000427,0.0162832,0.0271778
incremental,small_trace,48,1715626104,0,0.000437,0.000437,0.016468,0.0381458
